Number,Date,State/Tribal Government,Incident Description,Declaration Type
2595,12/29/2005,Oklahoma,Eastern Oklahoma County Fire Complex,Fire Management Assistance Declaration
2593,12/28/2005,Texas,Kennedale Fire,Fire Management Assistance Declaration
2594,12/28/2005,Oklahoma,Achille Fire Complex,Fire Management Assistance Declaration
2592,12/28/2005,Oklahoma,Hughes County Fire Complex,Fire Management Assistance Declaration
2591,12/28/2005,Texas,Callahan County Fire,Fire Management Assistance Declaration
1620,12/20/2005,South Dakota,Severe Winter Storm,Major Disaster Declaration
1619,12/16/2005,Connecticut,Severe Storms and Flooding,Major Disaster Declaration
1618,12/9/2005,Alaska,"Severe Fall Storm, Tidal Surges, and Flooding",Major Disaster Declaration
2590,12/2/2005,Oklahoma,Texanna Road Fire,Fire Management Assistance Declaration
1617,12/1/2005,Kentucky,Severe Storms and Tornadoes,Major Disaster Declaration
2588,11/30/2005,Oklahoma,Velma Complex Fire,Fire Management Assistance Declaration
2589,11/30/2005,Oklahoma,Antioch Fire,Fire Management Assistance Declaration
2587,11/29/2005,Oklahoma,Flat Rock Complex Fire,Fire Management Assistance Declaration
1616,11/21/2005,North Dakota,Severe Winter Storm and Record and/or Near Record Snow,Major Disaster Declaration
2586,11/18/2005,California,School Fire,Fire Management Assistance Declaration
1615,11/15/2005,Kansas,Severe Storms and Flooding,Major Disaster Declaration
1614,11/10/2005,Massachusetts,Severe Storms and Flooding,Major Disaster Declaration
1613,11/10/2005,Puerto Rico,"Severe Storms, Flooding, Landslides, and Mudslides",Major Disaster Declaration
1611,11/8/2005,Commonwealth of the Northern Mariana Islands,Typhoon Nabi,Major Disaster Declaration
1612,11/8/2005,Indiana,Tornado and Severe Storms,Major Disaster Declaration
1610,10/26/2005,New Hampshire,Severe Storms and Flooding,Major Disaster Declaration
1609,10/24/2005,Florida,Hurricane Wilma,Major Disaster Declaration
3264,10/19/2005,Massachusetts,Severe Storms and Flooding,Emergency Declaration
1608,10/7/2005,North Carolina,Hurricane Ophelia,Major Disaster Declaration
2585,10/6/2005,California,Border 50 Fire,Fire Management Assistance Declaration
2584,10/6/2005,California,Woodhouse Fire,Fire Management Assistance Declaration
3262,9/30/2005,New York,Hurricane Katrina Evacuation,Emergency Declaration
3263,9/30/2005,Delaware,Hurricane Katrina Evacuation,Emergency Declaration
2583,9/28/2005,California,Topanga Fire,Fire Management Assistance Declaration
1606,9/24/2005,Texas,Hurricane Rita,Major Disaster Declaration
1607,9/24/2005,Louisiana,Hurricane Rita,Major Disaster Declaration
3261,9/21/2005,Texas,Hurricane Rita,Emergency Declaration
3260,9/21/2005,Louisiana,Hurricane Rita,Emergency Declaration
3259,9/20/2005,Florida,Tropical Storm Rita,Emergency Declaration
3258,9/19/2005,New Hampshire,Hurricane Katrina Evacuation,Emergency Declaration
3256,9/19/2005,Maine,Hurricane Katrina Evacuation,Emergency Declaration
3255,9/19/2005,Rhode Island,Hurricane Katrina Evacuation,Emergency Declaration
3257,9/19/2005,New Jersey,Hurricane Katrina Evacuation,Emergency Declaration
3254,9/14/2005,North Carolina,Hurricane Ophelia,Emergency Declaration
3245,9/13/2005,Nebraska,Hurricane Katrina Evacuation,Emergency Declaration
3249,9/13/2005,Wisconsin,Hurricane Katrina Evacuation,Emergency Declaration
3242,9/13/2005,Minnesota,Hurricane Katrina Evacuation,Emergency Declaration
3250,9/13/2005,Ohio,Hurricane Katrina Evacuation,Emergency Declaration
3244,9/13/2005,Idaho,Hurricane Katrina Evacuation,Emergency Declaration
3246,9/13/2005,Connecticut,Hurricane Katrina Evacuation,Emergency Declaration
3252,9/13/2005,Massachusetts,Hurricane Katrina Evacuation,Emergency Declaration
3251,9/13/2005,Maryland,Hurricane Katrina Evacuation,Emergency Declaration
3243,9/13/2005,Nevada,Hurricane Katrina Evacuation,Emergency Declaration
3253,9/13/2005,Montana,Hurricane Katrina Evacuation,Emergency Declaration
3247,9/13/2005,North Dakota,Hurricane Katrina Evacuation,Emergency Declaration
3248,9/13/2005,California,Hurricane Katrina Evacuation,Emergency Declaration
3241,9/12/2005,Arizona,Hurricane Katrina Evacuation,Emergency Declaration
3240,9/12/2005,Virginia,Hurricane Katrina Evacuation,Emergency Declaration
3238,9/10/2005,Indiana,Hurricane Katrina Evacuation,Emergency Declaration
3237,9/10/2005,Alabama,Hurricane Katrina Evacuation,Emergency Declaration
3239,9/10/2005,Iowa,Hurricane Katrina Evacuation,Emergency Declaration
3236,9/10/2005,Kansas,Hurricane Katrina Evacuation,Emergency Declaration
3233,9/10/2005,South Carolina,Hurricane Katrina Evacuation,Emergency Declaration
3235,9/10/2005,Pennsylvania,Hurricane Katrina Evacuation,Emergency Declaration
3234,9/10/2005,South Dakota,Hurricane Katrina Evacuation,Emergency Declaration
3232,9/10/2005,Missouri,Hurricane Katrina Evacuation,Emergency Declaration
3231,9/10/2005,Kentucky,Hurricane Katrina Evacuation,Emergency Declaration
3230,9/7/2005,Illinois,Hurricane Katrina Evacuation,Emergency Declaration
3229,9/7/2005,New Mexico,Hurricane Katrina Evacuation,Emergency Declaration
3225,9/7/2005,Michigan,Hurricane Katrina Evacuation,Emergency Declaration
3226,9/7/2005,District of Columbia (DC),Hurricane Katrina Evacuation,Emergency Declaration
3228,9/7/2005,Oregon,Hurricane Katrina Evacuation,Emergency Declaration
3227,9/7/2005,Washington,Hurricane Katrina Evacuation,Emergency Declaration
3220,9/5/2005,Florida,Hurricane Katrina Evacuation,Emergency Declaration
3222,9/5/2005,North Carolina,Hurricane Katrina Evacuation,Emergency Declaration
3224,9/5/2005,Colorado,Hurricane Katrina Evacuation,Emergency Declaration
3217,9/5/2005,Tennessee,Hurricane Katrina Evacuation,Emergency Declaration
3219,9/5/2005,Oklahoma,Hurricane Katrina Evacuation,Emergency Declaration
3218,9/5/2005,Georgia,Hurricane Katrina Evacuation,Emergency Declaration
2582,9/5/2005,California,Sundevil Fire,Fire Management Assistance Declaration
3223,9/5/2005,Utah,Hurricane Katrina Evacuation,Emergency Declaration
3221,9/5/2005,West Virginia,Hurricane Katrina Evacuation,Emergency Declaration
3216,9/2/2005,Texas,Hurricane Katrina,Emergency Declaration
3215,9/2/2005,Arkansas,Hurricane Katrina,Emergency Declaration
2581,8/29/2005,Nevada,Chance Fire,Fire Management Assistance Declaration
1605,8/29/2005,Alabama,Hurricane Katrina,Major Disaster Declaration
1604,8/29/2005,Mississippi,Hurricane Katrina,Major Disaster Declaration
1603,8/29/2005,Louisiana,Hurricane Katrina,Major Disaster Declaration
1602,8/28/2005,Florida,Hurricane Katrina,Major Disaster Declaration
3214,8/28/2005,Alabama,Hurricane Katrina,Emergency Declaration
3213,8/28/2005,Mississippi,Hurricane Katrina,Emergency Declaration
3212,8/27/2005,Louisiana,Hurricane Katrina,Emergency Declaration
2580,8/26/2005,California,Manton Fire,Fire Management Assistance Declaration
2579,8/25/2005,Oregon,Deer Creek,Fire Management Assistance Declaration
